Area,Price per Month,Address,City,Price,Name,contact_details
"1,200 ft²",Contact,75 Corner Meadows Park Northeast,"Calgary, AB",ContactContact,David Lees,https://www.spacelist.ca/listings/805893/ab/calgary/for-lease/retail/75_corner_meadows_park_northeast
"2,697 ft²",Contact,Retail 4 - 850 11 Street Southwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/817208/ab/calgary/for-lease/retail/retail_4-850_11_street_southwest
650 ft²,"$2,000/mo",103 - 207 14 St NW,"Calgary, AB","$36.92/sf/yr$2,000/mo",YMK REAL ESTATE & MANAGEMENT INC,https://www.spacelist.ca/listings/815191/ab/calgary/for-lease/office-retail/103-207_14_st_nw
"4,000-8,000 ft²",Contact,"Building A, B & C - 14130 McIvor Blvd SE","Calgary, AB",ContactContact,Mahmud Rahman,https://www.spacelist.ca/listings/689203/ab/calgary/for-lease/retail/building_a_b_c-14130_mcivor_blvd_se
"2,873 ft²",Contact,15 - 2060 Symons Valley Parkway Northwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/734771/ab/calgary/for-lease/retail/15-2060_symons_valley_parkway_northwest
"2,060 ft²",Contact,L0 - LM - 800 3 Street Southeast,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/813217/ab/calgary/for-lease/retail/l0-lm-800_3_street_southeast
"3,248 ft²",Contact,44 - 6130 1A Street Southwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/774956/ab/calgary/for-lease/retail/44-6130_1a_street_southwest
"1,680 ft²",Contact,2101 - 19605 Walden Boulevard Southeast,"Calgary, AB",ContactContact,Jonathan Gheron,https://www.spacelist.ca/listings/815110/ab/calgary/for-lease/retail/2101-19605_walden_boulevard_southeast
"27,970 ft²",Contact,Level 2 - 850 11 Street Southwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/817206/ab/calgary/for-lease/retail/level_2-850_11_street_southwest
"4,075 ft²",Contact,Retail 3 - 850 11 Street Southwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/817207/ab/calgary/for-lease/retail/retail_3-850_11_street_southwest
"2,813 ft²",Contact,2 - 13750 Bow Bottom Trail SE,"Calgary, AB",ContactContact,Brandon Lau,https://www.spacelist.ca/listings/384489/ab/calgary/for-lease/retail/2-13750_bow_bottom_trail_se
"1,220 ft²",Contact,3505 18 Street Southwest,"Calgary, AB",ContactContact,Janet Wallace,https://www.spacelist.ca/listings/799269/ab/calgary/for-lease/office-retail-medical/3505_18_street_southwest
"1,884 ft²","$3,500/mo",76 Westwinds Crescent Northeast,"Calgary, AB","$22.29/sf/yr$3,500/mo",Ali Mohammad,https://www.spacelist.ca/listings/791888/ab/calgary/for-lease/retail-industrial/76_westwinds_crescent_northeast
325 ft²,Not available,250 - 328 Centre Street South,"Calgary, AB","$99,000",Amy Long,https://www.spacelist.ca/listings/363386/ab/calgary/for-sale/retail/250-328_centre_street_south
"1,686-2,505 ft²",Contact,4503 Brisebois Dr NW,"Calgary, AB",ContactContact,Brandon Lau,https://www.spacelist.ca/listings/206481/ab/calgary/for-lease/retail/4503_brisebois_dr_nw
400-750 ft²,Contact,9935 Elbow Drive Southwest,"Calgary, AB",ContactContact,OPUS Corporation,https://www.spacelist.ca/listings/780796/ab/calgary/for-lease/office-retail/9935_elbow_drive_southwest
"1,410 ft²",Not available,Saddlecrest Grove,"Calgary, AB","$838,950",Puma Banwait,https://www.spacelist.ca/listings/804345/ab/calgary/for-sale/retail/saddlecrest_grove
"3,600-5,400 ft²","$6,852-10,278/mo",107 - 107 42 Avenue Southwest,"Calgary, AB","$22.84/sf/yr$6,852-10,278/mo",Mathieu Dery,https://www.spacelist.ca/listings/191244/ab/calgary/for-lease/retail-industrial/107-107_42_avenue_southwest
491 ft²,Contact,212 - 755 Lake Bonavista Drive Southeast,"Calgary, AB",ContactContact,Lori Suba,https://www.spacelist.ca/listings/791317/ab/calgary/for-lease/office-retail/212-755_lake_bonavista_drive_southeast
"3,648 ft²",Contact,236 - 755 Lake Bonavista Drive Southeast,"Calgary, AB",ContactContact,Lori Suba,https://www.spacelist.ca/listings/791318/ab/calgary/for-lease/office-retail/236-755_lake_bonavista_drive_southeast
"9,540 ft²",Contact,8228 Macleod Trail SE - 8228 Macleod ...,"Calgary, AB",ContactContact,Morena Ianniello,https://www.spacelist.ca/listings/709845/ab/calgary/for-lease/retail/8228_macleod_trail_se-8228_macleod_trail_southeast
"19,267 ft²",Contact,CRU 3 - 8220 Centre Street Northeast,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/796779/ab/calgary/for-lease/retail/cru_3-8220_centre_street_northeast
"19,847 ft²",Contact,CRU 2 - 8220 Centre Street Northeast,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/796778/ab/calgary/for-lease/retail/cru_2-8220_centre_street_northeast
"2,150 ft²",Contact,1 - 2505 17 Avenue Southwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795898/ab/calgary/for-lease/retail/1-2505_17_avenue_southwest
"2,778 ft²",Contact,8 Nolan Hill Blvd NW - 8 Nolan Hill ...,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/436681/ab/calgary/for-lease/retail/8_nolan_hill_blvd_nw-8_nolan_hill_boulevard_northwest
"4,173 ft²",Contact,1 - 2116 4 Street Southwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795925/ab/calgary/for-lease/retail/1-2116_4_street_southwest
"2,164 ft²",Contact,Unit 301 - 1211 Kensington Road Northwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795909/ab/calgary/for-lease/retail/unit_301-1211_kensington_road_northwest
707 ft²,Contact,Unit 101 - 1211 Kensington Road Northwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795907/ab/calgary/for-lease/retail/unit_101-1211_kensington_road_northwest
"2,860 ft²","$5,958/mo",6403 Bowness Road Northwest,"Calgary, AB","$25.00/sf/yr$5,958/mo",Tanweer Ahmed,https://www.spacelist.ca/listings/799854/ab/calgary/for-lease/retail/6403_bowness_road_northwest
"10,704 ft²",Not available,128 7 Avenue Southeast,"Calgary, AB","$2,300,000",Gary Heald,https://www.spacelist.ca/listings/800526/ab/calgary/for-sale/retail/128_7_avenue_southeast
"1,048 ft²","$1,921/mo",103 - 2763 Sunridge Way Northeast,"Calgary, AB","$22.00/sf/yr$1,921/mo",Elton Lui,https://www.spacelist.ca/listings/801050/ab/calgary/for-lease/retail/103-2763_sunridge_way_northeast
"1,500 ft²",Not available,325 - 3132 26 Street Northeast,"Calgary, AB","$499,900",Ricky Wadhwa,https://www.spacelist.ca/listings/803629/ab/calgary/for-sale/retail/325-3132_26_street_northeast
"1,470 ft²",Not available,53 - 3131 27 Street Northeast,"Calgary, AB","$699,000",Jay Walia,https://www.spacelist.ca/listings/804340/ab/calgary/for-sale/retail/53-3131_27_street_northeast
"1,155 ft²",Not available,165 - 246 Nolanridge Crescent Northwest,"Calgary, AB","$606,375",Caiffy Nagpal,https://www.spacelist.ca/listings/804388/ab/calgary/for-sale/retail/165-246_nolanridge_crescent_northwest
"1,200 ft²",Not available,220 - 500 Royal Oak Drive Northwest,"Calgary, AB","$895,500",Harnoor Maan,https://www.spacelist.ca/listings/804653/ab/calgary/for-sale/retail/220-500_royal_oak_drive_northwest
"1,222 ft²","$3,055/mo",5315 Dufferin Boulevard Southeast,"Calgary, AB","$30.00/sf/yr$3,055/mo",Sunny Pandher,https://www.spacelist.ca/listings/808425/ab/calgary/for-lease/retail/5315_dufferin_boulevard_southeast
"1,699 ft²",Not available,37 Savanna Boulevard Northeast,"Calgary, AB","$770,000",Jawad Anwar,https://www.spacelist.ca/listings/809189/ab/calgary/for-sale/retail/37_savanna_boulevard_northeast
"3,100 ft²","$8,266/mo",207 4 Street Northeast,"Calgary, AB","$32.00/sf/yr$8,266/mo",Jack Liu,https://www.spacelist.ca/listings/818649/ab/calgary/for-lease/retail/207_4_street_northeast
"2,726 ft²","$6,360/mo",6104 Bowness Road Northwest,"Calgary, AB","$28.00/sf/yr$6,360/mo",Elton Lui,https://www.spacelist.ca/listings/671966/ab/calgary/for-lease/retail/6104_bowness_road_northwest
"1,025 ft²",Contact,Unit P163 - Unit P163 - 100 Anderson Road ...,"Calgary, AB",ContactContact,Glenn Simpson,https://www.spacelist.ca/listings/776086/ab/calgary/for-lease/retail/unit_p163-unit_p163-100_anderson_road_southeast
"1,288 ft²",Contact,P140 - Unit P140 - 100 Anderson Road ...,"Calgary, AB",ContactContact,Glenn Simpson,https://www.spacelist.ca/listings/776085/ab/calgary/for-lease/retail/p140-unit_p140-100_anderson_road_southeast
"1,487 ft²",Contact,3 - 177 Country Hills Boulevard Northwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/371568/ab/calgary/for-lease/retail/3-177_country_hills_boulevard_northwest
"5,360 ft²",Contact,CRU 4 - 8220 Centre Street Northeast,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/796780/ab/calgary/for-lease/retail/cru_4-8220_centre_street_northeast
"19,896 ft²",Contact,CRU 1 - 8220 Centre Street Northeast,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/190560/ab/calgary/for-lease/retail/cru_1-8220_centre_street_northeast
"3,616 ft²",Not available,308 Woodfield Road Southwest,"Calgary, AB","$1,200,000",Mahmud Rahman,https://www.spacelist.ca/listings/772294/ab/calgary/for-sale/retail/308_woodfield_road_southwest
"1,896 ft²",Contact,Unit 101A - 1211 Kensington Road Northwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795906/ab/calgary/for-lease/retail/unit_101a-1211_kensington_road_northwest
"1,293 ft²",Contact,Unit 301A - 1211 Kensington Road Northwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795910/ab/calgary/for-lease/retail/unit_301a-1211_kensington_road_northwest
873 ft²,Contact,Unit 101B - 1211 Kensington Road Northwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795908/ab/calgary/for-lease/retail/unit_101b-1211_kensington_road_northwest
"6,600 ft²",Not available,1814 36 Street Southeast,"Calgary, AB","$2,899,000",Greg Christensen,https://www.spacelist.ca/listings/793464/ab/calgary/for-sale/retail/1814_36_street_southeast
"8,759 ft²",Not available,1931 33 Ave SW,"Calgary, AB","$6,200,000",Jeff Robson,https://www.spacelist.ca/listings/658046/ab/calgary/for-sale/retail/1931_33_ave_sw
"20,000 ft²","$33,333/mo",5147 20 Avenue Southeast,"Calgary, AB","$20.00/sf/yr$33,333/mo",Satwinder Lombsar,https://www.spacelist.ca/listings/798027/ab/calgary/for-sale/retail/4303_17_avenue_southeast
"4,267 ft²","$11,734/mo",14315 Macleod Trail Southwest,"Calgary, AB","$33.00/sf/yr$11,734/mo",Jinny Jin,https://www.spacelist.ca/listings/798263/ab/calgary/for-lease/retail/5602_4_street_northwest
"1,348 ft²",Not available,120 - 750 Nolan Hill Boulevard Northwest,"Calgary, AB","$799,000",Rez Jiwa,https://www.spacelist.ca/listings/798923/ab/calgary/for-sale/retail/105_belvedere_common_se
"1,530 ft²",Not available,3120 - 4250 109 Avenue Northeast,"Calgary, AB","$862,500",Chan Hu,https://www.spacelist.ca/listings/799510/ab/calgary/for-sale/retail/210-555_4_avenue_southwest
"2,593 ft²",Not available,4303 17 Avenue Southeast,"Calgary, AB","$915,000",Jeff Jackson,https://www.spacelist.ca/listings/799850/ab/calgary/for-sale/retail/3150-40_christie_park_view_southwest
"4,945 ft²","$11,332/mo",5602 4 Street Northwest,"Calgary, AB","$27.50/sf/yr$11,332/mo",Elton Lui,https://www.spacelist.ca/listings/801053/ab/calgary/for-lease/retail/105-2763_sunridge_way_northeast
"1,235 ft²","$3,602/mo",3178 - 4310 104 Avenue Northeast,"Calgary, AB","$35.00/sf/yr$3,602/mo",Rez Jiwa,https://www.spacelist.ca/listings/798923/ab/calgary/for-sale/retail/105_belvedere_common_se
"1,650 ft²",Not available,107 - 2308 Centre Street North,"Calgary, AB","$1,050,000",Chan Hu,https://www.spacelist.ca/listings/799510/ab/calgary/for-sale/retail/210-555_4_avenue_southwest
"1,211 ft²",Not available,104 - 9036 46 Street Northeast,"Calgary, AB","$669,000",Jeff Jackson,https://www.spacelist.ca/listings/799850/ab/calgary/for-sale/retail/3150-40_christie_park_view_southwest
"1,505 ft²",Not available,3115 - 4250 109 Avenue Northeast,"Calgary, AB","$834,900",Elton Lui,https://www.spacelist.ca/listings/801053/ab/calgary/for-lease/retail/105-2763_sunridge_way_northeast
"1,376 ft²",Not available,248 - 500 Royal Oak Drive Northwest,"Calgary, AB","$769,900",Sukh Brar,https://www.spacelist.ca/listings/802200/ab/calgary/for-lease/retail/3178-4310_104_avenue_northeast
"1,000 ft²",Not available,319 Nolanridge Crescent Northwest,"Calgary, AB","$499,900",Amy Long,https://www.spacelist.ca/listings/804074/ab/calgary/for-sale/retail/107-2308_centre_street_north
"20,000 ft²","$33,333/mo",5147 20 Avenue Southeast,"Calgary, AB","$20.00/sf/yr$33,333/mo",Jay Walia,https://www.spacelist.ca/listings/804269/ab/calgary/for-sale/retail/104-9036_46_street_northeast
"4,267 ft²","$11,734/mo",14315 Macleod Trail Southwest,"Calgary, AB","$33.00/sf/yr$11,734/mo",Sukh Brar,https://www.spacelist.ca/listings/811733/ab/calgary/for-sale/retail/3115-4250_109_avenue_northeast
"1,348 ft²",Not available,120 - 750 Nolan Hill Boulevard Northwest,"Calgary, AB","$799,000",Puma Banwait,https://www.spacelist.ca/listings/817054/ab/calgary/for-sale/retail/248-500_royal_oak_drive_northwest
"1,530 ft²",Not available,3120 - 4250 109 Avenue Northeast,"Calgary, AB","$862,500",Arun Kaushal,https://www.spacelist.ca/listings/817973/ab/calgary/for-sale/retail/319_nolanridge_crescent_northwest
"2,158 ft²",Contact,105 - 4820 Northland Drive NW  - 4820 ...,"Calgary, AB",ContactContact,Steven Goertz,https://www.spacelist.ca/listings/798316/ab/calgary/for-lease/retail/105-4820_northland_drive_nw_-4820_northland_drive_northwest
"2,910 ft²",Contact,1 - 19655 Seton Way Southeast,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/808932/ab/calgary/for-lease/retail/1-19655_seton_way_southeast
"5,858 ft²",Contact,3 - 2555 32 Street Northeast,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/691463/ab/calgary/for-lease/retail/unit_k-5268_memorial_drive
970 ft²,Contact,Unit 106 - 417 10 Street Northwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795581/ab/calgary/for-lease/retail/3-2555_32_street_northeast
"1,579 ft²",Contact,Unit K - 5268 Memorial Drive,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/791307/ab/calgary/for-lease/retail/unit_106-417_10_street_northwest
"868-4,176 ft²",Contact,601 17 Avenue Southwest,"Calgary, AB",ContactContact,Mahmud Rahman,https://www.spacelist.ca/listings/640805/ab/calgary/for-lease/office-retail/601_17_avenue_southwest
"1,141 ft²",Contact,5 - 1136 137 Avenue Southeast,"Calgary, AB",ContactContact,Morena Ianniello,https://www.spacelist.ca/listings/709840/ab/calgary/for-lease/retail/5-1136_137_avenue_southeast
"2,029 ft²",Contact,"2,029 SF  - 6100 Macleod Trail Southwest","Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795659/ab/calgary/for-lease/retail/2029_sf_-6100_macleod_trail_southwest
"2,475 ft²",Contact,"2,475 SF  - 6100 Macleod Trail Southwest","Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795661/ab/calgary/for-lease/retail/2475_sf_-6100_macleod_trail_southwest
"1,080 ft²",Contact,Unit 256 - 6100 Macleod Trail Southwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795658/ab/calgary/for-lease/retail/unit_256-6100_macleod_trail_southwest
"1,393 ft²",Contact,"1,392 SF - 6100 Macleod Trail Southwest","Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795660/ab/calgary/for-lease/retail/1392_sf-6100_macleod_trail_southwest
"1,269 ft²",Contact,Unit 236 - 6100 Macleod Trail Southwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/795657/ab/calgary/for-lease/retail/unit_236-6100_macleod_trail_southwest
"1,000-2,700 ft²",Contact,2 - 608 17 Avenue Southwest,"Calgary, AB",ContactContact,Hani Abdelkader,https://www.spacelist.ca/listings/818372/ab/calgary/for-lease/retail/2-608_17_avenue_southwest
"4,289 ft²",Not available,1&2 - 1529 9 Avenue Southeast,"Calgary, AB","$2,260,000",Jeff Robson,https://www.spacelist.ca/listings/658047/ab/calgary/for-sale/office-retail-medical/12-1529_9_avenue_southeast
