Area,Price per Month,Address,City,Price,Name,contact_details
"1,998-4,446 ft²","$3,829-8,521/mo",13560 Fort Rd NW,"Edmonton, AB","$23.00/sf/yr$3,829-8,521/mo",Chad Snow,https://www.spacelist.ca/listings/199654/ab/edmonton/for-lease/retail/13560_fort_rd_nw
"1,458 ft²",Not available,10124 - 10124 80 Avenue Northwest,"Edmonton, AB","$475,000",Tom Dean,https://www.spacelist.ca/listings/796564/ab/edmonton/for-sale/office-retail/10124-10124_80_avenue_northwest
"1,395 ft²","$2,325/mo",10009 102 Avenue,"Edmonton, AB","$20.00/sf/yr$2,325/mo",Tom Dean,https://www.spacelist.ca/listings/817111/ab/edmonton/for-lease/retail/10009_102_avenue
"1,503 ft²",Contact,15159 121 Street Northwest,"Edmonton, AB",ContactContact,Noah Issa,https://www.spacelist.ca/listings/799541/ab/edmonton/for-lease/retail/15159_121_street_northwest
"841-3,043 ft²",Contact,10370 82 Avenue Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/538350/ab/edmonton/for-lease/office-retail/10370_82_avenue_northwest
"1,035-6,322 ft²",Contact,10009 102 Avenue,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/778380/ab/edmonton/for-lease/office-retail/10009_102_avenue
"1,249-2,547 ft²",Contact,9526 Ellerslie Rd SW,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/322666/ab/edmonton/for-lease/retail/9526_ellerslie_rd_sw
"1,200-5,000 ft²",Contact,12222 137 Avenue NorthWest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/575862/ab/edmonton/for-lease/office-retail-medical/12222_137_avenue_northwest
"3,165 ft²",Not available,6 - 11614 119 St NW,"Edmonton, AB","$550,000",Suki Keomanivong,https://www.spacelist.ca/listings/714083/ab/edmonton/for-sale/office-retail-industrial/6-11614_119_st_nw
"1,475 ft²",Contact,5804 Terrace Road Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/539557/ab/edmonton/for-lease/retail/5804_terrace_road_northwest
"1,597-3,194 ft²",Contact,10803 Jasper Ave,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/307359/ab/edmonton/for-lease/retail/10803_jasper_ave
"1,218-4,017 ft²",Contact,5138 Gateway Boulevard Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/307489/ab/edmonton/for-lease/retail/5138_gateway_boulevard_northwest
"990-2,361 ft²",Contact,1440 McConachie Boulevard Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/307865/ab/edmonton/for-lease/retail/1440_mcconachie_boulevard_northwest
"2,296 ft²","$5,356/mo",Unit 7415 - 7415 Roper Road Northwest,"Edmonton, AB","$28.00/sf/yr$5,356/mo",Chad Snow,https://www.spacelist.ca/listings/716134/ab/edmonton/for-lease/retail/unit_7415-7415_roper_road_northwest
"841-16,358 ft²",Contact,Building A - 10606 Ellerslie Road Southwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783627/ab/edmonton/for-lease/retail/building_a-10606_ellerslie_road_southwest
"3,318 ft²",Contact,Building C - 10606 Ellerslie Road Southwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783629/ab/edmonton/for-lease/retail/building_c-10606_ellerslie_road_southwest
"2,339 ft²",Contact,Building A2 - 4607 Calgary Trail Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783624/ab/edmonton/for-lease/retail/building_a2-4607_calgary_trail_northwest
"16,000 ft²",Contact,Building F - 4607 Calgary Trail Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783623/ab/edmonton/for-lease/retail/building_f-4607_calgary_trail_northwest
"4,400-26,399 ft²","$7,150-42,898/mo",3925 99 Street Northwest,"Edmonton, AB","$19.50/sf/yr$7,150-42,898/mo",Chad Snow,https://www.spacelist.ca/listings/801133/ab/edmonton/for-lease/retail-industrial/3925_99_street_northwest
"26,492 ft²",Not available,6604 127 Avenue Northwest,"Edmonton, AB","$9,500,000",MGH Retail,https://www.spacelist.ca/listings/492233/ab/edmonton/for-sale/office-retail/6604_127_avenue_northwest
"2,690-2,972 ft²",Contact,18348 Lessard Road Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/307351/ab/edmonton/for-lease/office-retail/18348_lessard_road_northwest
"637-6,897 ft²",$637/mo,10217 106 Street,"Edmonton, AB",$12.00/sf/yr$637/mo,Tom Dean,https://www.spacelist.ca/listings/793355/ab/edmonton/for-lease/office-retail-medical/10217_106_street
"2,811 ft²",Contact,Building B - 10606 Ellerslie Road Southwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783628/ab/edmonton/for-lease/retail/building_b-10606_ellerslie_road_southwest
"78,510 ft²",Contact,Building A1 - 4607 Calgary Trail Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783620/ab/edmonton/for-lease/retail/building_a1-4607_calgary_trail_northwest
"2,354 ft²",Contact,Building A3 - 4607 Calgary Trail Northwest,"Edmonton, AB",ContactContact,Alexandria Wiemer,https://www.spacelist.ca/listings/783621/ab/edmonton/for-lease/retail/building_a3-4607_calgary_trail_northwest
